last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000,2016_per_capita_personal_income_in_dollars,2017_per_capita_personal_income_in_dollars,2018_per_capita_personal_income_in_dollars,2018_rank_in_state_per_capita_income,2017_per_capita_income_percent_change,2018_per_capita_income_percent_change,rank_in_state_2018_per_capita_income_percent_change,2016_per_capita_personal_income_in_dollars_state_avg,2017_per_capita_personal_income_in_dollars_state_avg,2018_per_capita_personal_income_in_dollars_state_avg,2017_per_capita_income_percent_change_state_avg,2018_per_capita_income_percent_change_state_avg,percent_of_population_over_65,percent_of_population_over_65_state_avg,2014_to_2018_owner-occupied_housing_unit_rate,2014_to_2018_owner-occupied_housing_unit_rate_state_avg,2018_percent_female,2018_percent_female_state_avg
2020-09-07 20:28:40 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",1001,32.53952745,-86.64408227,Medium metro,55200,1383,2505.43,23,41.67,"39,561","40,450","41,618",10,2.2,2.9,61,"39,224","40,467","42,238",3.2,4.4,15.6,16.9,74.9,68.6,51.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",1003,30.72774991,-87.72207058,Small metro,208107,4586,2203.67,42,20.18,"42,907","43,989","45,596",4,2.5,3.7,55,"39,224","40,467","42,238",3.2,4.4,20.4,16.9,73.6,68.6,51.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",1005,31.868263,-85.3871286,Non-core,25782,617,2393.14,7,27.15,"31,595","33,048","35,199",41,4.6,6.5,2,"39,224","40,467","42,238",3.2,4.4,19.4,16.9,61.4,68.6,47.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",1007,32.99642064,-87.1251146,Large fringe metro,22527,557,2472.59,6,26.63,"28,799","29,081","30,254",66,1,4,43,"39,224","40,467","42,238",3.2,4.4,16.5,16.9,75.1,68.6,46.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Blount,"Blount, Alabama, US",1009,33.98210918,-86.56790593,Large fringe metro,57645,1070,1856.19,12,20.82,"32,389","33,533","34,976",43,3.5,4.3,32,"39,224","40,467","42,238",3.2,4.4,18.2,16.9,78.6,68.6,50.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",1011,32.10030533,-85.71265535,Non-core,10352,545,5264.68,13,125.58,"26,655","27,442","28,797",67,3,4.9,10,"39,224","40,467","42,238",3.2,4.4,16.4,16.9,75.5,68.6,45.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Butler,"Butler, Alabama, US",1013,31.75300095,-86.68057478,Non-core,20025,859,4289.64,37,184.77,"33,501","34,733","36,450",32,3.7,4.9,9,"39,224","40,467","42,238",3.2,4.4,20.3,16.9,69.9,68.6,53.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",1015,33.77483727,-85.82630386,Small metro,115098,2593,2252.86,31,26.93,"34,774","35,721","37,120",26,2.7,3.9,48,"39,224","40,467","42,238",3.2,4.4,17.7,16.9,69.5,68.6,51.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",1017,32.91360079,-85.39072749,Micropolitan,33826,857,2533.55,40,118.25,"32,470","32,583","33,859",49,0.3,3.9,49,"39,224","40,467","42,238",3.2,4.4,19.5,16.9,67.8,68.6,52.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",1019,34.17805983,-85.60638968,Non-core,25853,367,1419.56,11,42.55,"32,826","33,852","35,505",39,3.1,4.9,12,"39,224","40,467","42,238",3.2,4.4,23,16.9,79,68.6,50.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",1021,32.85044126,-86.7173256,Large fringe metro,43930,1168,2658.78,12,27.32,"32,204","33,416","34,798",45,3.8,4.1,40,"39,224","40,467","42,238",3.2,4.4,16.8,16.9,74.8,68.6,50.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",1023,32.02227341,-88.2656443,Non-core,13075,325,2485.66,12,91.78,"35,676","36,603","39,280",17,2.6,7.3,1,"39,224","40,467","42,238",3.2,4.4,23,16.9,79.7,68.6,52.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",1025,31.68099859,-87.83548597,Non-core,24387,930,3813.51,13,53.31,"34,436","34,777","36,361",33,1,4.6,20,"39,224","40,467","42,238",3.2,4.4,19.9,16.9,67.5,68.6,52.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Clay,"Clay, Alabama, US",1027,33.26984193,-85.85836077,Non-core,13378,401,2997.46,6,44.85,"31,149","32,017","33,530",50,2.8,4.7,15,"39,224","40,467","42,238",3.2,4.4,20.7,16.9,72.4,68.6,51.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",1029,33.67679204,-85.52005899,Non-core,14938,239,1599.95,5,33.47,"33,708","34,862","36,159",35,3.4,3.7,53,"39,224","40,467","42,238",3.2,4.4,19.5,16.9,75.7,68.6,50.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",1031,31.39932826,-85.98901039,Micropolitan,51288,982,1914.68,5,9.75,"40,386","41,268","43,094",6,2.2,4.4,26,"39,224","40,467","42,238",3.2,4.4,17,16.9,64.8,68.6,50.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",1033,34.69847452,-87.80168544,Small metro,54495,1480,2715.85,22,40.37,"36,289","37,073","38,378",21,2.2,3.5,56,"39,224","40,467","42,238",3.2,4.4,19.9,16.9,72.7,68.6,52,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",1035,31.43401703,-86.99320044,Non-core,12514,437,3492.09,11,87.9,"30,308","31,267","32,656",57,3.2,4.4,24,"39,224","40,467","42,238",3.2,4.4,22.5,16.9,76.6,68.6,52.1,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",1037,32.93690146,-86.24847739,Micropolitan,10855,110,1013.36,3,27.64,"29,174","29,926","31,328",64,2.6,4.7,17,"39,224","40,467","42,238",3.2,4.4,23.2,16.9,82,68.6,49.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Covington,"Covington, Alabama, US",1039,31.2477854,-86.45050893,Non-core,37351,817,2187.36,25,66.93,"33,014","34,393","35,651",38,4.2,3.7,54,"39,224","40,467","42,238",3.2,4.4,21.1,16.9,74,68.6,51.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",1041,31.72941803,-86.31593104,Non-core,13865,401,2892.17,31,223.58,"34,405","35,823","36,645",28,4.1,2.3,63,"39,224","40,467","42,238",3.2,4.4,19,16.9,73.8,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",1043,34.13020303,-86.86888037,Micropolitan,82313,1480,1798.01,15,18.22,"36,649","38,158","39,607",16,4.1,3.8,51,"39,224","40,467","42,238",3.2,4.4,18.5,16.9,74.6,68.6,50.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Dale,"Dale, Alabama, US",1045,31.43037123,-85.61095742,Micropolitan,49255,1030,2091.16,42,85.27,"34,492","35,200","36,613",29,2.1,4,45,"39,224","40,467","42,238",3.2,4.4,16.9,16.9,60.2,68.6,50.9,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",1047,32.32688101,-87.1086671,Micropolitan,40029,1449,3619.88,25,62.45,"33,454","34,282","36,026",37,2.5,5.1,7,"39,224","40,467","42,238",3.2,4.4,18.1,16.9,59.8,68.6,53.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",1049,34.45946862,-85.80782906,Non-core,71200,2111,2964.89,16,22.47,"29,446","30,682","31,916",62,4.2,4,44,"39,224","40,467","42,238",3.2,4.4,17.3,16.9,71.2,68.6,50.4,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",1051,32.59785413,-86.14415284,Medium metro,81212,2124,2615.38,44,54.18,"39,587","40,966","42,269",9,3.5,3.2,59,"39,224","40,467","42,238",3.2,4.4,15.1,16.9,73.7,68.6,51.7,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",1053,31.1256789,-87.15918694,Non-core,37328,1257,3367.45,22,58.94,"30,404","31,641","32,996",55,4.1,4.3,33,"39,224","40,467","42,238",3.2,4.4,17.9,16.9,68.8,68.6,49.3,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",1055,34.04567266,-86.04051873,Small metro,102939,2774,2694.8,42,40.8,"34,792","35,542","36,918",27,2.2,3.9,50,"39,224","40,467","42,238",3.2,4.4,19,16.9,71.9,68.6,51.6,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",1057,33.72076938,-87.73886638,Non-core,16585,316,1905.34,6,36.18,"32,533","33,492","34,966",44,2.9,4.4,27,"39,224","40,467","42,238",3.2,4.4,21.1,16.9,77.9,68.6,51.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",1059,34.44235334,-87.84289505,Non-core,31542,1600,5072.6,27,85.6,"30,940","32,422","34,318",47,4.8,5.8,4,"39,224","40,467","42,238",3.2,4.4,16.9,16.9,70.6,68.6,49.5,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",1061,31.09389027,-85.83572839,Small metro,26491,398,1502.4,3,11.32,"32,619","33,736","35,192",42,3.4,4.3,30,"39,224","40,467","42,238",3.2,4.4,20.3,16.9,70.8,68.6,51.2,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Greene,"Greene, Alabama, US",1063,32.85504247,-87.95684022,Non-core,8426,282,3346.78,14,166.15,"30,737","31,388","32,359",60,2.1,3.1,60,"39,224","40,467","42,238",3.2,4.4,22.3,16.9,68.7,68.6,52.8,51.6
2020-09-07 20:28:40 UTC,county,Alabama,Hale,"Hale, Alabama, US",1065,32.76039258,-87.63284988,Small metro,14887,542,3640.76,27,181.37,"34,900","35,559","36,585",30,1.9,2.9,62,"39,224","40,467","42,238",3.2,4.4,19.2,16.9,71.5,68.6,52.4,51.6
