region,value
2020,2.542956719
2100,22.6370135
2122,1.872208863
2090,2.127382016
2170,1.053506534
2050,1.884700665
1015,3.579558289
1039,3.801772376
1083,0.709280832
1053,2.545006429
1101,3.776311905
1007,6.925023305
1073,5.475138356
1091,2.917391749
1011,5.216383308
1087,0
1019,1.740610374
1121,4.034009806
1027,9.642696965
1123,3.346786101
1041,3.534078615
1089,3.06242309
1043,1.761568647
1045,13.5214699
1125,4.010416414
1103,3.777639731
1049,1.615168539
1081,2.423298825
1017,5.528291847
1051,0.40634389
1035,3.516062011
1057,10.06933976
1055,7.344155276
1063,10.91858533
1025,1.230163612
1065,1.880835628
1033,6.642811267
1071,2.495488924
1119,2.541393916
1131,1.942825423
1133,2.429319372
1079,1.296313045
1095,0.945924641
1005,1.822977271
1031,1.930276088
1097,3.340093908
1099,2.277798438
1077,2.516606362
1003,1.446371338
1093,5.573168697
1001,0.996376812
1013,2.846441948
1059,1.553484243
1021,0.591850672
1115,0.45815866
1117,1.192837296
1109,3.442804539
1047,2.723025806
1127,4.015939714
1061,6.983503831
5143,2.988679774
5067,7.02467344
5031,5.666928411
5119,5.464300328
5055,2.890885866
5045,2.132074239
5001,2.70359744
5131,5.397729502
5059,1.939140811
5033,0.704315533
5035,0.224430253
5005,5.11899852
5149,1.946878042
5051,4.527142508
5043,2.70241055
5123,2.662204305
5093,0.770469987
5107,6.672270674
5069,4.487106668
5071,4.56429957
5027,1.255650427
5139,3.297090506
5113,3.223726628
5007,2.054212681
5009,3.593649431
5103,3.609059985
5115,2.466846836
5121,2.499573936
5145,3.591188265
5057,3.587973476
5063,5.689136969
4013,2.028955458
4019,2.485971667
4021,0.383588145
4003,0.744383468
4001,1.621878583
4005,2.40341756
4015,2.911716748
4009,1.293592756
4007,0.149812734
4017,1.186697944
4025,1.602528434
4027,1.953529103
6111,1.653083555
6037,2.174775887
6041,1.083386158
6095,1.655530978
6115,2.953916257
6029,1.518595147
6031,1.53256705
6077,1.735836069
6019,1.850469774
6055,2.255746104
6109,2.818363866
6107,1.869800229
6045,0.571938414
6059,1.913922777
6001,1.775871509
6073,1.718221902
6013,1.397753535
6069,10.50222162
6079,0.671510543
6071,1.764998153
6017,1.264324096
6075,3.561888824
6011,2.236302646
6053,2.488389057
6065,1.472756522
6099,2.314106594
6087,1.307690903
6085,1.9368432
6025,1.487104364
6007,2.162281185
6083,2.176960278
