region,value
2020,11.13430053
2100,1.588562351
2122,7.248368258
2090,7.576289725
2050,3.935698448
1015,22.52862778
1039,21.87357768
1083,18.33383485
1053,33.67445349
1101,35.05757003
1007,24.72588449
1073,25.31171768
1091,33.01259085
1011,52.64683153
1087,21.62275638
1019,14.19564461
1121,16.28498728
1027,29.97458514
1123,23.18141549
1041,28.9217454
1089,18.43606667
1043,17.98014894
1045,20.91158258
1125,25.95374685
1103,24.26923658
1049,29.6488764
1081,22.04197455
1017,25.33554071
1051,26.15377038
1035,34.9208886
1057,19.05336147
1055,26.94799833
1063,33.46783765
1025,38.13507196
1065,36.40760395
1033,27.1584549
1071,25.35800668
1119,31.03581055
1131,43.85234527
1133,24.46073298
1079,15.22414157
1095,36.89106101
1005,23.93142503
1031,19.14677897
1097,29.63640003
1099,20.31424321
1077,15.97450991
1003,22.03674072
1093,24.99582847
1001,25.05434783
1013,42.89637953
1059,50.72601611
1021,26.58775324
1115,19.70082239
1117,20.56697639
1109,25.47675359
1047,36.1987559
1127,30.35988402
1061,15.02397041
5143,33.42682986
5067,11.26269956
5031,19.66868809
5119,19.06405431
5055,14.99226856
5045,14.6222716
5001,16.44228647
5131,23.70136748
5059,52.08830549
5033,15.87911384
5035,34.94991125
5005,3.614837818
5149,55.11519028
5051,15.4431513
5043,17.24137931
5123,52.17920438
5093,33.45707548
5107,21.80308921
5069,32.44632512
5071,29.85812636
5027,13.26803951
5139,18.24725662
5113,11.80379904
5007,21.74685304
5009,10.94185797
5103,7.425537211
5115,29.39790082
5121,18.29233653
5145,7.233135374
5057,15.21482423
5063,21.81730356
4013,31.97150482
4019,21.57450756
4021,23.78008248
4003,14.57882942
4001,47.1463326
4005,24.20533887
4015,18.25646401
4009,20.22228676
4007,21.19850187
4017,52.05832298
4025,10.54552739
4027,59.34205525
6111,13.34139831
6037,24.59276304
6041,24.35313779
6095,12.93184047
6115,13.16678368
6029,34.06364057
6031,45.23071797
6077,25.34511863
6019,27.06286485
6055,10.68099338
6109,3.597122302
6107,31.87347034
6045,8.762096497
6059,15.75288653
6001,11.77222121
6073,12.30822146
6013,12.91774873
6069,19.99461425
6079,11.01774706
6071,23.26997166
6017,5.400163934
6075,11.46953487
6011,22.13007827
6053,19.78246217
6065,22.65233799
6099,28.52210547
6087,7.053494786
6085,9.682135054
6025,61.26537044
6007,10.77177144
6083,19.00671117
6061,8.371987781
6023,3.012491898
6039,25.50108701
6047,30.94676206
6081,11.25030192
6067,12.66735672
6089,3.244269481
6097,12.68658354
6103,7.179713758
6057,4.712792153
6005,7.401728832
6015,4.521586931
6113,11.88964401
48085,12.1575687
48439,21.18736996
48027,14.57181594
48203,12.24397929
48183,15.87121642
48123,42.57401517
48201,24.23127489
48397,15.06802503
48039,27.73171676
48253,29.56110804
48453,22.41502835
48309,26.99765325
48209,26.79892236
48021,19.83603182
48491,15.22415982
48339,16.52823995
48029,24.68656941
48245,26.53501038
48121,13.11943418
48251,15.8250497
48113,28.49353116
48477,16.63984366
48041,24.44877346
48299,5.03875969
48053,14.49180328
48139,23.02799133
48181,12.26664592
48423,15.14121281
48015,14.91628615
48445,16.64684899
48375,34.58258546
48005,22.97761594
47125,13.38174115
48157,20.4830782
48373,16.26356168
48075,8.303349017
48241,11.57616043
48223,7.06401766
48037,11.94357434
48067,8.874264633
48249,31.9236745
48025,54.78572084
48355,53.56102595
48273,28.98965792
48469,41.70925302
48291,22.97769417
48141,24.99719455
48089,21.31100752
48493,11.30752313
48215,33.66066667
48219,12.34781107
48189,49.10151555
48303,29.4141063
48479,44.5905761
48133,6.896551724
48481,29.57810883
48237,14.47636281
48145,10.05838488
48323,57.52975677
48161,19.63569943
48425,14.29715201
48177,39.62839309
48503,13.02859667
48187,12.26657728
48061,51.12744517
48167,33.04299441
48211,15.75966511
48441,10.04781882
48049,13.21562616
48117,43.17688767
48171,7.822039072
48231,15.82168591
48471,53.63508017
48485,10.56001457
48221,14.09465563
48279,22.54561906
48321,25.74640067
48115,18.89848812
48135,27.4911268
48367,13.01212616
48297,29.11820506
48013,11.7965102
48329,20.47577865
48097,8.617421849
48001,44.17330591
48363,15.78557051
48179,11.02049813
48277,18.55366228
48293,20.36997661
48003,21.77573241
48265,8.546675752
48091,18.06109684
48353,11.22544434
48149,18.98986675
48227,9.92718248
48023,3.898635478
48451,28.45929886
48427,49.36300748
48429,13.44430218
48051,16.85047304
48257,23.92565806
48143,17.40513958
48449,46.59333944
48213,10.56425553
48365,14.07849829
48073,27.95599484
48465,39.91678055
48487,9.29800093
48497,10.36525936
12057,27.95378578
12101,16.33003194
12127,18.60380491
12105,26.71418381
12103,21.37439645
12083,25.49006662
12095,28.12001871
12035,13.57115523
12055,18.81470309
12069,20.34816109
12005,30.26051885
12011,38.46002752
12045,52.69386484
12033,37.05677288
12019,20.77273012
12031,30.00771454
12086,59.52349388
12089,22.82260667
12053,15.22200814
12015,15.88548436
12017,16.31175439
12099,29.86080813
12081,28.54865415
12071,26.68228792
12073,27.16051954
12117,18.41849672
12061,19.28018863
12085,28.88038533
12027,41.86928212
12115,18.03738499
12123,55.66114581
12003,45.74410653
12109,19.85112716
12039,55.13179912
12091,21.96904407
12113,29.0421375
12009,13.27304753
12131,26.5419539
12063,51.34923255
12023,49.76485059
12111,24.02230432
12087,23.07238782
12021,33.04004704
12001,21.40620487
12097,34.08550613
12107,25.61635929
12093,31.64744159
12119,16.92575972
42029,11.25579129
42011,15.14969686
42049,5.047613526
42071,13.13093599
42003,8.82045039
42091,13.87067592
42125,5.502368138
42085,5.327177484
42005,5.306719332
42037,11.94503171
42015,1.663839227
42019,4.7114694
42101,22.02381179
42111,2.428317923
42031,2.627037886
42021,3.716090673
42013,4.005103277
42077,14.63819554
42045,18.91479911
42017,12.90610981
42119,9.243250432
42129,5.347412692
42089,10.37676178
42087,3.753073638
42093,8.03542145
42097,8.296777688
42079,12.24975148
42069,10.4277999
42007,10.24590164
42051,5.404833357
42063,5.469068859
42107,7.070460799
42039,2.738962908
42043,12.62590387
42027,4.174848089
42133,8.574053971
42033,3.191383265
42061,8.520287973
42041,6.498728949
42065,2.268396697
42095,13.82804578
42025,6.741643334
42131,2.537335073
42009,3.682294131
42073,5.424458126
42083,0.980720471
42121,1.412860852
42035,4.094794493
42081,4.875543057
42123,0.924191333
42059,4.038337282
42127,3.783762807
42055,10.25033984
42001,6.96901679
42075,12.81422617
11001,20.91313634
44003,10.4112632
44007,26.95998474
44005,5.501053265
10001,15.55868255
10005,29.24296256
10003,15.59265978
15003,9.022536597
15001,2.559977335
15009,2.141806983
15007,0.812586688
38035,25.49715909
38015,24.81410756
