region,value
2020,0.084427514
2100,0
2122,0.034352456
2090,0.090313387
2050,0.055432373
1015,0.269335697
1039,0.669326122
1083,0.193440227
1053,0.58936991
1101,0.718248355
1007,0.26634705
1073,0.462196844
1091,0.921281605
1011,1.255795981
1087,0.892201113
1019,0.425482536
1121,0.260659095
1027,0.448497533
1123,2.017915149
1041,2.235845655
1089,0.159413805
1043,0.182231239
1045,0.852705309
1125,0.455839351
1103,0.184684609
1049,0.224719101
1081,0.307620835
1017,1.18252232
1051,0.541791853
1035,0.879015503
1057,0.361772686
1055,0.408008626
1063,1.661523855
1025,0.533070898
1065,1.813662927
1033,0.403706762
1071,0.134372481
1119,1.4632268
1131,1.01767046
1133,0.460732984
1079,0.150734075
1095,0.430921225
1005,0.271507253
1031,0.097488691
1097,0.63907934
1099,0.278914094
1077,0.270022142
1003,0.201819256
1093,0.901051226
1001,0.416666667
1013,1.847690387
1059,0.856001522
1021,0.273161848
1115,0.355072962
1117,0.189339253
1109,0.209562015
1047,0.624547203
1127,1.147411347
1061,0.113246008
5143,0.345689169
5067,0.058055152
5031,0.151370375
5119,0.287193459
5055,0.11204984
5045,0.073519801
5001,0.220701832
5131,0.274593797
5059,0.686157518
5033,0.144064541
5035,0.71409626
5005,0.024260656
5149,1.158855977
5051,0.325547326
5043,0.270241055
5123,0.15212596
5093,0.747122411
5107,0.525375644
5069,0.738384642
5071,0.152143319
5027,0.627825213
5139,0.553709856
5113,0.198383177
5007,0.22781682
5009,0.107273117
5103,0.207417241
5115,0.314248005
5121,1.022552974
5145,0.152276534
5057,0.136252157
5063,0.214684414
4013,0.72662511
4019,0.584473023
4021,0.452681662
4003,0.506814276
4001,2.153183636
4005,0.912870765
4015,1.038512307
4009,0.6071966
4007,0.936329588
4017,2.051423578
4025,0.351665962
4027,1.5926555
6111,0.139132567
6037,0.59466915
6041,0.368812309
6095,0.109456594
6115,0.079477567
6029,0.335200718
6031,0.50641346
6077,0.502586683
6019,0.318976005
6055,0.092506938
6109,0.037083735
6107,0.527713653
6045,0.194459061
6059,0.332787431
6001,0.182515057
6073,0.214058658
6013,0.16413015
6069,0.15147435
6079,0.078165248
6071,0.358244518
6017,0.010714611
6075,0.098845576
6011,0.279537831
6053,0.133883641
6065,0.447701199
6099,0.535878851
6087,0.025569375
6085,0.135261679
6025,1.642473476
6007,0.101288121
6083,0.218597461
6061,0.094717649
6023,0.029462023
6039,0.374162167
6047,0.445972313
6081,0.176255165
6067,0.216552993
6089,0.067007287
6097,0.185511363
6103,0.015779591
6057,0.05045816
6005,0.422955933
6015,0.036464411
6113,0.246538002
48085,0.124953672
48439,0.31584518
48027,0.20161526
48203,0.435141421
48183,0.412975529
48123,1.223391241
48201,0.507330436
48397,0.234937314
48039,0.412430544
48253,0
48453,0.32746936
48309,0.350200661
48209,0.284104825
48021,0.326967558
48491,0.248549967
48339,0.239879519
48029,0.604922983
48245,0.438854277
48121,0.168515588
48251,0.281388592
48113,0.389707997
48477,1.293252098
48041,0.26460699
48299,0.048449612
48053,0.262295082
48139,0.355370237
48181,0.233354076
48423,0.346643557
48015,0.202942669
48445,0.317082838
48375,0.446653818
48005,0.810437522
47125,0.157851589
48157,0.334080845
48373,0.397182098
48075,0
48241,0.535150969
48223,0.220750552
48037,0.468793283
48067,0.398843354
48249,0.67974364
48025,0.734147013
48355,1.043036345
48273,0.986475736
48469,0.902468196
48291,0.561921282
48141,0.553927994
48089,0.190276853
48493,0.539441471
48215,1.49754706
48219,0.259044987
48189,1.436402544
48303,0.341677337
48479,0.937317361
48133,0.164203612
48481,1.034872807
48237,0.113096584
48145,0.173420429
48323,1.587027773
48161,0.050738241
48425,0.457508864
48177,0.677408429
48503,0.331235508
48187,0.47699775
48061,1.930053349
48167,0.44024715
48211,0
48441,0.27136445
48049,0.528625046
48117,1.058257051
48171,0.343406593
48231,0.347252366
48471,0.684941081
48485,0.121379478
48221,0.421785206
48279,1.508068165
48321,1.061426666
48115,0.61709349
48135,0.461027396
48367,0.208009122
48297,0.659902664
48013,0.59392152
48329,0.444596027
48097,0.126355159
48001,0.311079619
48363,0.423773705
48179,0.220409963
48277,0.585480094
48293,0.340208378
48003,0.448984173
48265,0.175216587
48091,0.71800262
48353,0.267272484
48149,0.718104205
48227,0.245452314
48023,0
48451,0.493759896
48427,2.206779979
48429,0.426803244
48051,0.335889828
48257,0.353208309
48143,0.241068415
48449,0.763825237
48213,0.236142182
48365,0.981228669
48073,0.40460089
48465,1.754135476
48487,0.154966682
48497,0.185646436
12057,0.407576277
12101,0.358406794
12127,0.37336487
12105,0.701391267
12103,0.702596894
12083,0.634381163
12095,0.292916862
12035,0.14000504
12055,0.675801412
12069,0.384658966
12005,0.471279359
12011,0.639027505
12045,0.809716599
12033,0.619538909
12019,0.381106753
12031,0.294299357
12086,0.978819495
12089,0.297848048
12053,0.541883785
12015,0.661188784
12017,0.447280326
12099,0.8075908
12081,0.711509604
12071,0.609451508
12073,0.138839716
12117,0.39992441
12061,0.688814709
12085,0.761513127
12027,0.604412209
12115,0.524088668
12123,0.452529641
12003,0.215943855
12109,0.254773825
12039,0.717126279
12091,0.438384553
12113,0.346158811
12009,0.407414599
12131,0.303683683
12063,1.423502228
12023,0.564358585
12111,0.804997529
12087,0.248935473
12021,0.505602849
12001,0.125404715
12097,0.392771817
12107,0.522221917
12093,0.492950804
12119,0.454549211
42029,0.694181253
42011,0.924054704
42049,0.130448016
42071,0.81917425
42003,0.266816584
42091,1.050771885
42125,0.134909201
42085,0.115422179
42005,0.180910886
42037,0.528541226
42015,0.048936448
42019,0.101840635
42101,1.118994213
42111,0.040027219
42031,0.07726582
42021,0.044593088
42013,0.104972465
42077,0.951427555
42045,1.291863566
42017,0.941935278
42119,0.132996409
42129,0.138125051
42089,0.769754037
42087,0.021569389
42093,0.273313655
42097,0.422420796
42079,0.594556505
42069,1.012040444
42007,0.611159045
42051,0.045355245
42063,0.128272404
42107,0.355264533
42039,0.02321155
42043,0.60470284
42027,0.068135503
42133,0.297287923
42033,0.012466341
42061,0.11008124
42041,0.295029361
42065,0.022683967
42095,0.997421946
42025,0.437972189
42131,0.289981151
42009,0.102857378
42073,0.240324094
42083,0.047840023
42121,0.019092714
42035,0.127962328
42081,0.200245518
42123,0.024978144
42059,0.026922249
42127,0.194039118
42055,0.305689069
42001,0.235241073
42075,0.411035955
11001,0.89262496
44003,0
44007,0
44005,0
10001,0.629211426
10005,0.892775804
10003,0.545815147
15003,0.073913721
15001,0.015177731
15009,0.048402418
15007,0
